CrimeRate,Age,Southern,Education,Ex0,LF,Males,Pop,NW,UE1,UE2,IncIneq
79.1,151,1,9.1,58,510,950,33,301,108,41,261
163.5,143,0,11.3,103,583,1012,13,102,96,36,194
57.8,142,1,8.9,45,533,969,18,219,94,33,250
196.9,136,0,12.1,149,577,994,157,80,102,39,167
123.4,141,0,12.1,109,591,985,18,30,91,20,174
68.2,121,0,11,118,547,964,25,44,84,29,126
96.3,127,1,11.1,82,519,982,4,139,97,38,168
155.5,131,1,10.9,115,542,969,50,179,79,35,206
85.6,157,1,9,65,553,955,39,286,81,28,239
70.5,140,0,11.8,71,632,1029,7,15,100,24,174
167.4,124,0,10.5,121,580,966,101,106,77,35,170
84.9,134,0,10.8,75,595,972,47,59,83,31,172
51.1,128,0,11.3,67,624,972,28,10,77,25,206
66.4,135,0,11.7,62,595,986,22,46,77,27,190
79.8,152,1,8.7,57,530,986,30,72,92,43,264
94.6,142,1,8.8,81,497,956,33,321,116,47,247
53.9,143,0,11,66,537,977,10,6,114,35,166
92.9,135,1,10.4,123,537,978,31,170,89,34,165
75,130,0,11.6,128,536,934,51,24,78,34,135
122.5,125,0,10.8,113,567,985,78,94,130,58,166
74.2,126,0,10.8,74,602,984,34,12,102,33,195
43.9,157,1,8.9,47,512,962,22,423,97,34,276
121.6,132,0,9.6,87,564,953,43,92,83,32,227
96.8,131,0,11.6,78,574,1038,7,36,142,42,176
52.3,130,0,11.6,63,641,984,14,26,70,21,196
199.3,131,0,12.1,160,631,1071,3,77,102,41,152
34.2,135,0,10.9,69,540,965,6,4,80,22,139
121.6,152,0,11.2,82,571,1018,10,79,103,28,215
104.3,119,0,10.7,166,521,938,168,89,92,36,154
69.6,166,1,8.9,58,521,973,46,254,72,26,237
37.3,140,0,9.3,55,535,1045,6,20,135,40,200
75.4,125,0,10.9,90,586,964,97,82,105,43,163
107.2,147,1,10.4,63,560,972,23,95,76,24,233
92.3,126,0,11.8,97,542,990,18,21,102,35,166
65.3,123,0,10.2,97,526,948,113,76,124,50,158
127.2,150,0,10,109,531,964,9,24,87,38,153
83.1,177,1,8.7,58,638,974,24,349,76,28,254
56.6,133,0,10.4,51,599,1024,7,40,99,27,225
82.6,149,1,8.8,61,515,953,36,165,86,35,251
115.1,145,1,10.4,82,560,981,96,126,88,31,228
88,148,0,12.2,72,601,998,9,19,84,20,144
54.2,141,0,10.9,56,523,968,4,2,107,37,170
82.3,162,1,9.9,75,522,996,40,208,73,27,224
103,136,0,12.1,95,574,1012,29,36,111,37,162
45.5,139,1,8.8,46,480,968,19,49,135,53,249
50.8,126,0,10.4,106,599,989,40,24,78,25,171
84.9,130,0,12.1,90,623,1049,3,22,113,40,160
