id,PropTax,Nbeds,Nbaths,New,Price,Size
1,3.104,4,2,0,279.9,2048
2,1.173,2,1,0,146.5,912
3,3.076,4,2,0,237.7,1654
4,1.608,3,2,0,200,2068
5,1.454,3,3,0,159.9,1477
6,2.997,3,2,1,499.9,3153
7,4.054,3,2,0,265.5,1355
8,3.002,3,2,1,289.9,2075
9,6.627,5,4,0,587,3990
10,0.32,3,2,0,70,1160
11,0.63,3,2,0,64.5,1220
12,1.78,3,2,0,167,1690
13,1.63,3,2,0,114.6,1380
14,1.53,3,2,0,103,1590
15,0.93,3,1,0,101,1050
16,0.59,2,1,0,70,770
17,1.05,3,2,0,85,1410
18,0.02,3,1,0,22.5,1060
19,0.87,2,2,0,90,1300
20,1.32,3,2,0,133,1500
21,1.35,2,1,0,90.5,820
22,5.616,4,3,1,577.5,3949
23,0.68,2,1,0,142.5,1170
24,1.84,3,2,0,160,1500
25,3.68,4,2,0,240,2790
26,1.66,3,1,0,87,1030
27,1.62,3,2,0,118.6,1250
28,3.1,3,2,0,140,1760
29,2.07,2,3,0,148,1550
30,0.83,3,2,0,69,1120
31,2.26,4,2,0,176,2000
32,1.76,3,1,0,86.5,1350
33,2.75,3,2,1,180,1840
34,2.02,4,2,0,179,2510
35,4.9,3,3,1,338,3110
36,1.18,4,2,0,130,1760
37,2.15,3,2,0,163,1710
38,1.6,2,1,0,125,1110
39,1.97,3,2,0,100,1360
40,2.06,3,1,0,100,1250
41,1.98,3,1,0,100,1250
42,1.51,3,2,0,146.5,1480
43,1.71,3,2,0,144.9,1520
44,1.59,3,2,0,183,2020
45,1.23,3,2,0,69.9,1010
46,1.51,2,2,0,60,1640
47,1.45,2,2,0,127,940
48,0.97,3,2,0,86,1580
49,0.15,2,2,0,50,860
50,1.47,3,2,0,137,1420
51,1.85,3,2,0,121.3,1270
52,0.82,2,1,0,81,980
53,2.05,4,2,0,188,2300
54,0.71,3,2,0,85,1430
55,1.28,3,2,0,137,1380
56,1.36,3,2,0,145,1240
57,0.83,3,2,0,69,1120
58,0.8,3,2,0,109.3,1120
59,1.22,3,2,0,131.5,1900
60,3.36,4,3,0,200,2430
61,0.21,3,2,0,81.9,1080
62,0.38,2,1,0,91.2,1350
63,1.92,4,3,0,124.5,1720
64,4.35,3,3,0,225,4050
65,1.51,3,2,0,136.5,1500
66,4.154,3,3,0,381,2581
67,1.976,3,2,1,250,2120
68,3.605,3,3,1,354.9,2745
69,1.4,3,2,0,140,1520
70,0.79,2,2,0,89.9,1280
71,1.21,3,2,0,137,1620
72,1.55,3,2,0,103,1520
73,2.8,3,2,0,183,2030
74,2.56,3,2,0,140,1390
75,1.39,4,2,0,160,1880
76,5.443,3,2,0,434,2891
77,2.85,2,1,0,130,1340
78,2.23,2,2,0,123,940
79,0.02,2,1,0,21,580
80,1.51,4,2,0,85,1410
81,0.71,3,2,0,69.9,1150
82,1.54,3,2,0,125,1380
83,1.78,3,2,1,162.6,1470
84,2.92,2,2,1,156.9,1590
85,1.71,3,2,1,105.9,1200
86,1.88,3,2,0,167.5,1920
87,1.68,3,2,0,151.8,2150
88,3.69,5,3,0,118.3,2200
89,0.9,2,2,0,94.3,860
90,0.56,3,1,0,93.9,1230
91,2.04,4,2,0,165,1140
92,4.39,4,3,1,285,2650
93,0.69,3,1,0,45,1060
94,2.1,3,2,0,124.9,1770
95,2.88,4,2,0,147,1860
96,0.99,2,2,0,176,1060
97,3.03,3,2,0,196.5,1730
98,1.58,3,2,0,132.2,1370
99,1.77,3,2,0,88.4,1560
100,1.43,3,2,0,127.2,1340
